n_estimators,train-mlogloss-mean,train-mlogloss-std,test-mlogloss-mean,test-mlogloss-std
197,0.41699159999999996,0.0018246900668332528,0.5139978000000001,0.007334364305105117
198,0.4163748,0.0018108587355174747,0.5137092000000001,0.007292432773773072
199,0.4157514,0.0018543180525465398,0.5134502,0.007271849321871314
200,0.4151564,0.0018583250092489116,0.5133078,0.007274719496997824
201,0.4145054,0.0018428947446883777,0.5130464,0.007323077511538444
202,0.4139132,0.0018671140725729637,0.5128276000000002,0.007313632820972083
203,0.4133258000000001,0.0018390930808417577,0.5126058,0.007309370353183659
204,0.41266579999999997,0.0018358710630106982,0.5122936,0.0072805487045963565
205,0.41204399999999997,0.0018776266934617232,0.5120728000000001,0.007333653697850753
206,0.41141259999999996,0.0018744842063885226,0.5117972,0.007401783876877227
207,0.4108242,0.0018392697898894487,0.5115095999999999,0.00740957468684943
208,0.4101622,0.0018364609878786006,0.5112522,0.00741844302802142
209,0.40956960000000003,0.001839069286351119,0.5110278000000001,0.007448277234367692
210,0.4089968,0.0018554539498462491,0.5108428,0.007461844233163799
211,0.40840560000000004,0.0018466168633476763,0.5106426,0.007454305027297984
212,0.40779259999999995,0.0018105679329978143,0.5104369999999999,0.0075973050485024386
213,0.4071619999999999,0.0017891444882960055,0.5101813999999999,0.0075800061899710825
214,0.40661040000000004,0.00174347063066746,0.509876,0.007653644883321945
215,0.4060236,0.0016911299890901349,0.5096149999999999,0.0076319930031414265
216,0.40545220000000004,0.0016939164560272663,0.5093924,0.007661186660041658
217,0.4048508,0.0016645960951534122,0.5091344,0.007682261974184417
218,0.4043004,0.0016461676220846963,0.5088682,0.007654178895217944
219,0.40369679999999997,0.001608955362960708,0.5085827999999999,0.0076203096892449185
220,0.403058,0.0016115387677620517,0.5083272,0.007736739737124391
221,0.40243799999999996,0.001625900488959883,0.5080560000000001,0.007685235975557292
222,0.40180479999999996,0.0016247498761347867,0.5078026,0.007707622735967277
223,0.4012492,0.0016701259114210484,0.507591,0.0076830520237728215
224,0.4006576,0.001612836581926376,0.5074014,0.007745404872567989
225,0.4001024,0.0015788171015035206,0.5072011999999999,0.007753259015407642
226,0.3995126,0.0015803024520641678,0.5069566,0.0077191740128073165
227,0.3989304,0.0015823729775245726,0.5068231999999999,0.007736057223159606
228,0.3984152,0.0016516853695543803,0.5066246,0.007678506146380302
229,0.3977762,0.0016562494256602686,0.5063886,0.007721191400295675
230,0.39725720000000003,0.0016774562170143125,0.5062146000000001,0.007702919565982754
231,0.3966634,0.0016428777921683527,0.5060272,0.00769493200489779
232,0.3960944,0.0016426145743904648,0.5058534,0.0076601505102706635
233,0.395535,0.0016159068042433556,0.5056624000000001,0.007739157178918126
234,0.3949508,0.0015729678191240973,0.5054016,0.007796487378300559
235,0.3944194,0.001503632082658511,0.5051854,0.007764269433758715
236,0.39388120000000004,0.0015193021292685671,0.5049707999999999,0.007698299069274991
237,0.3932888,0.0015025351110706186,0.5046624,0.007655879769170886
238,0.3927568,0.0014462241043489835,0.5044593999999999,0.007697002964790884
239,0.3922088,0.0014373890774595495,0.5042679999999999,0.007738585813958521
240,0.39166739999999994,0.0014200623366599084,0.5040874000000001,0.007717306670076013
241,0.39109619999999995,0.001428963176572424,0.5038948000000001,0.007782771521765245
242,0.390509,0.0014719235034471104,0.5037586000000001,0.007752450569981087
243,0.39000579999999996,0.0014915848484079056,0.5035879999999999,0.0077513242223506635
244,0.389463,0.001489638211110341,0.5034373999999999,0.007762187078394847
245,0.3889392,0.0014928265003006885,0.5032422,0.007681828152204407
246,0.388416,0.0014716471044377347,0.5030441999999999,0.007709586121187061
247,0.3879328,0.0014664561909583137,0.5028992,0.007750016061918827
248,0.3874206,0.0014575824642194288,0.5027234,0.007742086943453927
249,0.3868588,0.0014541708840435407,0.5025228,0.007736173767438286
250,0.3863684,0.0014440629626162377,0.5023514,0.007775578939217311
251,0.3858462,0.0014561089794380001,0.5021656,0.007781494627640647
252,0.3853094,0.0014582689189583673,0.5019560000000001,0.007791204502514348
253,0.3847562,0.0015320172844978013,0.501811,0.0077549593422531725
254,0.3842468,0.001567427625123418,0.5016342,0.007704397274284358
255,0.3836954,0.001588423192981011,0.5014576,0.007692243849488905
256,0.3831816,0.0015883283791458154,0.5012373999999999,0.007609529331042772
257,0.3826362,0.0015455267580990134,0.5010353999999999,0.007566956127796674
258,0.3820964,0.0014788041925826501,0.5008476,0.007671786196186666
259,0.3815948,0.0014843187528290438,0.5006864,0.007662135540435186
260,0.3810602,0.0015014743953860926,0.5005058,0.007679597890514832
261,0.38054899999999997,0.0014872288324262607,0.500373,0.007705532038736834
262,0.3800928,0.0014825168329567068,0.5002522,0.00771207814794431
263,0.37957739999999995,0.0014949325871088564,0.5000376,0.007729103611674523
264,0.37906819999999997,0.0014993267022233678,0.4998564,0.0077599113551637885
265,0.37857320000000005,0.0015101283918925665,0.49974380000000007,0.007718695832846384
266,0.37805599999999995,0.0015030578165858958,0.4995634,0.007800142219216279
267,0.3775918,0.0014652892410715393,0.4993892000000001,0.0078053471005458735
268,0.37709899999999996,0.001416959703026169,0.49924539999999995,0.007815668585604183
269,0.376616,0.0014125413976234541,0.4990893999999999,0.007804672128923795
270,0.3761266,0.0013771337770892,0.498841,0.0077582235595528
271,0.37566700000000003,0.0013942991070785276,0.49871879999999996,0.0077074673246144846
272,0.3751502,0.0013391051340354107,0.4985166,0.007710573742595279
273,0.3746426,0.0013201247819808468,0.4983796,0.0077630532292391145
274,0.37416499999999997,0.0012983300042747128,0.49817520000000004,0.0077138703229961015
